Roll_mean,Roll_std,Roll_min,Roll_max,Gyroscope_z_mean,Gyroscope_z_std,Gyroscope_z_min,Gyroscope_z_max,Gravity_x_mean,Gravity_x_std,Gravity_x_min,Gravity_x_max,Rot12_mean,Rot12_std,Rot12_min,Rot12_max,Rot13_mean,Rot13_std,Rot13_min,Rot13_max,Rot21_mean,Rot21_std,Rot21_min,Rot21_max,Rot22_mean,Rot22_std,Rot22_min,Rot22_max,Rot23_mean,Rot23_std,Rot23_min,Rot23_max,Rot31_mean,Rot31_std,Rot31_min,Rot31_max,Rot32_mean,Rot32_std,Rot32_min,Rot32_max,Rot33_mean,Rot33_std,Rot33_min,Rot33_max,Gravity.y_mean,Gravity.y_std,Gravity.y_min,Gravity.y_max,Gravity.z_mean,Gravity.z_std,Gravity.z_min,Gravity.z_max,Accelerometer.x_mean,Accelerometer.x_std,Accelerometer.x_min,Accelerometer.x_max,Accelerometer.y_mean,Accelerometer.y_std,Accelerometer.y_min,Accelerometer.y_max,Accelerometer.z_mean,Accelerometer.z_std,Accelerometer.z_min,Accelerometer.z_max,Gyroscope.x_mean,Gyroscope.x_std,Gyroscope.x_min,Gyroscope.x_max,Gyroscope.y_mean,Gyroscope.y_std,Gyroscope.y_min,Gyroscope.y_max,Magnetometer.x_mean,Magnetometer.x_std,Magnetometer.x_min,Magnetometer.x_max,Magnetometer.y_mean,Magnetometer.y_std,Magnetometer.y_min,Magnetometer.y_max,Magnetometer.z_mean,Magnetometer.z_std,Magnetometer.z_min,Magnetometer.z_max,duration,label,path
-104.23455029305315,6.061822675661774,-117.05811993998807,-95.65262923827224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.98499023365347,0.005198578961246523,-0.9925836324691772,-0.9722891449928284,0.14992573210283328,0.04102558446655937,0.0917967855930328,0.2225675880908966,-0.03929107028402775,0.012500554935447121,-0.0619732439517974,-0.0122608244419097,0.14800755012976494,0.04333185751078515,0.0864829719066619,0.2260213196277618,0.9871549061254451,0.006430989305217322,0.9731106162071228,0.9950549602508544,-0.9963358495580522,0.0029018893597206256,-0.9997768402099608,-0.9910656809806824,-0.0476516932249069,0.06093223157364208,-0.1281094849109649,0.0597348809242248,-0.03485678450057375,0.010399032921292965,-0.0593248605728149,-0.0177513360977172,-0.9871548986748645,0.006430985913706327,-0.9950549006462096,-0.9731106162071228,0.03485678028511369,0.01039903390548632,0.01775130815804,0.059324812144041,-0.08096423902009663,0.11478887141993815,-0.28948974609375,0.156158447265625,-0.9886738626580489,0.02882180641349504,-1.0889892578125,-0.9512939453125,0.052895897313168176,0.020352138682104982,0.003326416015625,0.0966949462890625,-0.018045853737643676,0.12665723932352266,-0.2997260093688965,0.3659628033638,-0.00811578447342311,0.34515229656892366,-1.0528266429901123,0.6514433026313782,-75.37955946671336,2.703407825430365,-78.1739501953125,-68.17353820800781,-334.69421547337583,1.0343276042855325,-335.9356689453125,-331.932861328125,386951.3713621711,0.5124247606582473,386950.492857875,386952.2079050417,152.0,1,data\train\right\imu_data_2025-10-30_09-14-24.csv_single_trial_4.csv
-109.95519596626474,14.567157517786095,-139.7010817367044,-89.09172107305379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9792768782377244,0.013294575529751745,-0.9955256581306458,-0.9510157108306884,0.1758366858959198,0.07685320369179835,0.0498969852924346,0.2997666597366333,-0.04506185859441751,0.01274890812016731,-0.0601203739643096,-0.0079087615013122,0.17792203158140182,0.07491979568093132,0.0543824136257171,0.2979345917701721,0.9799801790714264,0.013287074959363702,0.9539546966552734,0.99701988697052,-0.996889967918396,0.0014838352662785992,-0.9992724657058716,-0.9942071437835692,0.024215603619813897,0.05463009075406091,-0.0873436033725738,0.0830079019069671,-0.04669480741024014,0.02137693455208723,-0.0688529014587402,0.0035197436809539,-0.979980175793171,0.013287077538340065,-0.99701988697052,-0.9539546966552734,0.04669480527285483,0.02137694112312092,-0.0035197522956877,0.0688529014587402,-0.138843994140625,0.14643705978101737,-0.417633056640625,0.1073150634765625,-0.9723383331298828,0.041935774363170274,-1.044097900390625,-0.861358642578125,0.036984405517578124,0.04408153408134196,-0.09320068359375,0.1276397705078125,-0.009065652157878506,0.15931839268536271,-0.3974368274211883,0.2799014151096344,0.027963060889742337,0.26323942452757704,-0.5193371772766113,0.7139490246772766,-73.26258529663086,1.8480119575798124,-75.45362854003906,-69.55996704101562,-333.4892393493652,2.411071775779162,-336.0750427246094,-327.2642517089844,387207.51925167197,0.6466424532197871,387206.35867937503,387208.6323865417,200.0,0,data\train\left\imu_data_2025-10-30_09-17-57.csv_single_trial_11.csv
-115.74717853527576,13.333196760093589,-138.2240532723438,-97.09315249788614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.984651061318676,0.0034141386710731065,-0.9916642308235168,-0.9774296283721924,0.12660625040160942,0.04871730913744195,0.0505187511444091,0.2111077904701233,-0.062392002677325094,0.018163890014292496,-0.0969403386116027,-0.0335312485694885,0.12100049890346404,0.052132162442649496,0.0414117574691772,0.2112021744251251,0.9891311207913464,0.006173660070706638,0.9755452871322632,0.9972163438796996,-0.9918189056171394,0.004945062083181476,-0.9990796446800232,-0.985005795955658,-0.10016755935568242,0.055301595332936195,-0.1639489829540252,0.0036775767803192,-0.05280348936223091,0.019770074774077134,-0.0880693793296814,-0.0194255113601684,-0.989131114127473,0.0061736695212634895,-0.9972162842750548,-0.9755452871322632,0.05280348696740143,0.0197700782872578,0.01942546851933,0.0880693718791008,-0.06591512549737966,0.1211765485057207,-0.3598480224609375,0.1082000732421875,-0.9892932583826669,0.02990356422900691,-1.0468902587890625,-0.9335174560546876,0.05826914532584433,0.0383230281640504,0.009429931640625,0.1533966064453125,0.007558924200950387,0.18992812754603944,-0.3855671286582947,0.5606526732444763,0.02596172657997712,0.3329751342593355,-0.7188920974731445,0.7303634285926819,-75.88660843179834,2.456022005757815,-78.58757019042969,-69.31788635253906,-336.77052221831326,1.4890229272654312,-338.3348999023437,-332.31005859375,385152.63380940683,0.5561638722005317,385151.6860075,385153.6004185417,161.0,1,data\train\right\imu_data_2025-10-30_08-43-55.csv_single_trial_9.csv
-31.767005845167525,95.22801555355191,-149.94125482571843,173.12611073252108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6652230700450157,0.0400683381715639,-0.7305340766906738,-0.6070214509963989,0.0330781189363394,0.0508078196279366,-0.0591979622840881,0.0963057875633239,-0.016379221606610424,0.07881352482555903,-0.1309819370508194,0.1100469529628753,0.02549484605664637,0.04674871613332523,-0.0544192716479301,0.099881924688816,0.9953279521927905,0.0026437946430858247,0.9898900985717772,0.9998950362205504,-0.663071473142994,0.040732965773539215,-0.7243863344192505,-0.5987547039985657,-0.7427338619730366,0.03719932625893602,-0.7939979434013367,-0.682381272315979,0.009837062167587582,0.07445075705929563,-0.1227616965770721,0.0989751517772674,-0.9953279579753307,0.002643805476207077,-0.9998950362205504,-0.9898900389671326,-0.009837066984054312,0.07445075341376248,-0.098975196480751,0.1227616444230079,-0.026564299170650653,0.18326709832242458,-0.40753173828125,0.2336883544921875,-0.9846201654690415,0.05990792134787908,-1.0801544189453125,-0.825439453125,-0.017689719128964554,0.07902676978969886,-0.136993408203125,0.1704254150390625,-0.05965423200335077,0.4712400385808963,-1.335826396942139,0.912895917892456,-0.06203187436365813,0.2362997387412539,-0.4941383600234985,0.5322660207748413,-66.74277735468166,1.3841467865408343,-68.52540588378906,-64.14328002929688,-382.531408964698,4.412893361038741,-388.3128662109375,-376.6949157714844,595675.7671797987,0.4385037081473026,595675.0128118751,595676.4882225001,134.0,0,data\train\left\imu_data_2025-11-01_19-13-08.csv_single_trial_5.csv
-116.84250876455255,27.848043476180518,-165.7604182742188,-76.14223815752727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9825752545410479,0.01001361715178453,-0.9983969926834106,-0.9551687240600586,0.12634583230309643,0.08286645656269417,0.0199116468429565,0.287693440914154,-0.04725160509207994,0.032344597257786996,-0.0918092131614685,0.0164917111396789,0.1216310981853467,0.08683890620124857,0.0067459046840667,0.2906113266944885,0.9870361635382746,0.012068035929804146,0.9561734795570374,0.998270869255066,-0.9925037591670041,0.006475842299906399,-0.999438226222992,-0.979989230632782,-0.09118192170707269,0.06161462842124803,-0.1821590065956115,0.0565487742424011,-0.040281238830145505,0.0340780865388353,-0.0829747021198272,0.032437264919281,-0.9870361626987726,0.012068031289081987,-0.9982708096504213,-0.9561734199523926,0.04028123750421325,0.034078091512527844,-0.0324372835457325,0.0829747095704078,-0.09064336785688087,0.18171279035552731,-0.514404296875,0.379669189453125,-0.9817959064609009,0.04107511801662736,-1.08154296875,-0.883087158203125,0.0406544286880135,0.05327233026495676,-0.10809326171875,0.1289825439453125,0.0026023912783537336,0.2221038370714193,-0.428952693939209,0.5859559178352356,0.03368461883228989,0.40416421779148987,-1.2433598041534424,0.6789361834526062,-74.20653788248698,3.238548581669002,-78.1441650390625,-67.28460693359375,-336.64025764286237,2.2507962599911684,-338.88494873046875,-329.7323608398437,386011.52350561036,0.7050355955226077,386010.279527625,386012.712602625,213.0,1,data\train\right\imu_data_2025-10-30_08-56-07.csv_single_trial_22.csv
-75.9165568580337,121.00957905793142,-179.39593740502485,179.34125051173797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9302323063892716,0.10010186006187183,-0.9967691898345948,-0.6617697477340698,0.18286740311990418,0.15739960507155984,-0.006122201681137,0.4530339539051056,-0.11372099750684794,0.11174375664819307,-0.4346279799938202,0.00100639462471,0.22903806093202922,0.2309417520987198,-0.0121380388736724,0.7067151069641113,0.924065941633218,0.12202685383637867,0.5582582950592041,0.9984596967697144,-0.9460936467395301,0.11425996296946601,-0.9980865716934204,-0.5845097899436951,0.029658208528069517,0.13407240174518553,-0.1234395205974578,0.2799533605575561,-0.16978036116414508,0.21016939675930174,-0.7718380093574524,-0.0489641726016998,-0.924065941633218,0.12202684907538178,-0.9984596371650696,-0.5582582950592041,0.16978036393586277,0.2101693969371712,0.0489641949534416,0.7718380689620972,-0.18723211190806313,0.27062913904754793,-0.69775390625,0.289825439453125,-0.8999097908723069,0.16554379760241633,-1.113067626953125,-0.502349853515625,0.19045359120027197,0.20492676572237511,-0.123291015625,0.7698822021484375,-0.1887809782076004,0.4823007733164857,-1.6419082880020142,0.705325186252594,0.17011819031000544,0.5534283428547769,-1.207721710205078,1.483665943145752,-61.443449886178804,4.920234798007553,-65.42228698730469,-49.79507446289063,-396.02915803564287,5.454173884885005,-401.2974853515625,-383.7181396484375,565532.7249274184,0.9530318703591225,565531.0909940416,565534.361327125,293.0,1,data\train\right\imu_data_2025-11-01_10-50-40.csv_single_trial_4.csv
-115.25143271407983,16.78464638746326,-147.12353913106364,-96.09095313807714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9833850185354273,0.014333093782305618,-0.9981843829154968,-0.9528255462646484,0.1403492278569228,0.06829372338494488,0.047033667564392,0.255363792181015,-0.03574386801753008,0.02640632015481143,-0.0733813047409057,0.0155707001686096,0.14315768576168508,0.06770643468210144,0.0499792397022247,0.2580649256706238,0.9863302590963724,0.009977481231456984,0.9661216735839844,0.996472954750061,-0.9948000957915833,0.0033658657123225933,-0.997899293899536,-0.9863041043281556,0.07845852425048397,0.038917432367604,0.0336158871650695,0.1626728475093841,-0.049627302409885596,0.015113924372991092,-0.0758616924285888,-0.0261566936969757,-0.9863302615972666,0.009977487415463122,-0.996472954750061,-0.9661216139793396,0.04962730032580711,0.015113924111688102,0.026156697422266,0.0758616849780082,-0.0864806275267701,0.1788451691374856,-0.363311767578125,0.29571533203125,-0.9886711494072334,0.03478519164335555,-1.0718231201171875,-0.89935302734375,0.05482440228228803,0.03660437239713729,-0.0009765625,0.15374755859375,-0.01141697935551614,0.16408501912559428,-0.326511800289154,0.2687717974185943,-0.02798875683423629,0.21608194233494726,-0.6353700160980225,0.3740601539611816,-74.58482841011528,3.1244799493394213,-77.48194885253906,-68.29974365234375,-303.2828633768575,2.4782437118233274,-305.47723388671875,-297.00616455078125,476409.22775617056,0.5365959145319452,476408.3138708751,476410.108959125,143.0,1,data\train\right\imu_data_2025-10-31_10-05-18.csv_single_trial_5.csv
-116.70000252319637,5.084008763609447,-124.15697981635398,-109.2195057926407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9848225584217146,0.006598906077771942,-0.9929550886154176,-0.9737207889556884,0.15644091484593406,0.04121686203003193,0.1046928763389587,0.2208404839038849,-0.08570863452612178,0.00764373198437864,-0.0996694862842559,-0.0763963758945465,0.15089610744925103,0.04083244303674272,0.1003244221210479,0.2152881920337677,0.9839248026118559,0.007118458704066544,0.9722665548324584,0.992017388343811,-0.9943273429777107,0.00060009947062568,-0.995531976222992,-0.9934512972831726,-0.07484166820844011,0.0065399662560542745,-0.0851069390773773,-0.063049167394638,-0.07507957897934256,0.0056394952441877165,-0.0871266722679138,-0.0689894556999206,-0.9839247967682633,0.007118452717259138,-0.9920174479484558,-0.9722665548324584,0.0750795804402407,0.005639507796616211,0.0689894706010818,0.0871266946196556,-0.07617965399050246,0.044284450491985164,-0.1619720458984375,-0.0121917724609375,-0.9926641127642464,0.02211115815457205,-1.0184173583984375,-0.957977294921875,0.09410723517922794,0.032782833709168846,0.03765869140625,0.148681640625,-0.029445740156898294,0.10714079894839379,-0.187852457165718,0.1312624216079712,0.015851439205089607,0.09678236225661271,-0.2025080919265747,0.1680526584386825,-77.04858099245557,0.23368189811867418,-77.41238403320312,-76.66796875,-336.8183402267157,0.523850993993285,-337.4262084960937,-335.82489013671875,385177.5695088717,0.1752600168056526,385177.292679,385177.8909285417,51.0,1,data\train\right\imu_data_2025-10-30_08-43-55.csv_single_trial_13.csv
-31.99831222005954,142.2357987426533,-178.45812863871973,179.90373974998002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9823158807870819,0.009698535848212094,-0.9985224604606628,-0.9664322733879088,0.04614868818259819,0.06994255159755353,-0.04975426197052,0.1783338487148285,-0.061741833861281195,0.02899048109995145,-0.1060474216938018,0.0088183581829071,0.05480560035240357,0.06418199920820955,-0.0353961884975433,0.1680449545383453,0.994081853657234,0.005085246691443023,0.9806158542633056,0.9987961053848268,-0.98349486938337,0.01206295226660825,-0.999807596206665,-0.9647688269615172,0.11999365541993115,0.11593128165806284,-0.1196283400058746,0.2557968199253082,-0.06164907871223074,0.03087433542205337,-0.1116468906402587,0.0101850926876068,-0.9940818460976205,0.0050852569626753845,-0.9987961053848268,-0.9806158542633056,0.06164908407670556,0.030874331529017196,-0.0101850749924778,0.1116468533873558,-0.03776356766863567,0.158915751837979,-0.401580810546875,0.2066650390625,-0.9940809296398628,0.07515891195513619,-1.14678955078125,-0.7724609375,0.04718129227801067,0.05686957450774788,-0.074920654296875,0.1878509521484375,-0.04184526009030823,0.25985834247677825,-0.6926615834236145,0.5627784132957458,-0.004897146985479971,0.4478593230032535,-1.111659049987793,0.8246073722839355,-61.00463227062691,0.9106958284498756,-62.452911376953125,-59.49378967285156,-396.65927942787727,2.371172694832287,-399.69091796875,-392.113037109375,565699.9473732031,0.6808542902451197,565698.7504436667,565701.103292,205.0,0,data\train\left\imu_data_2025-11-01_10-53-30.csv_single_trial_5.csv
-70.85346289775515,48.84273087831172,-131.49470775510724,-0.5473557780992038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9240765344388414,0.04727548037593486,-0.9934129118919371,-0.856500506401062,0.1632039297630291,0.10360468062892515,0.0083343088626861,0.3562433123588562,0.2362360735931019,0.31220901135086376,-0.0233008861541748,0.8428837060928345,0.18030200522429868,0.10191113634365657,0.0043814629316329,0.3416324555873871,0.8834569755167064,0.1527325212125165,0.4887426495552063,0.9973148107528688,-0.8487668648214624,0.1408358618240145,-0.9875717163085938,-0.4746350646018982,0.24872771879233938,0.19770559581467148,-0.1168775707483291,0.5069149136543274,0.19402354468803595,0.34808340827243256,-0.1246651858091354,0.8723882436752319,-0.8834569713856915,0.1527325185803315,-0.997314751148224,-0.4887426197528839,-0.19402355434704976,0.3480834045114045,-0.8723882436752319,0.1246651858091354,-0.16981544116936106,0.17937075918827014,-0.5042266845703125,0.163909912109375,-0.8753024563931002,0.16254481852833763,-1.1312255859375,-0.431732177734375,-0.20840295470587097,0.3461204962789292,-0.899444580078125,0.123443603515625,-0.4253576640592943,0.6003105782289414,-1.6515015363693235,0.5196719169616699,0.15838326864626887,0.6033909995266633,-1.0112789869308472,1.2714277505874634,-93.29931142070505,1.639827475224226,-95.90496826171876,-89.84046936035156,-285.76824543263655,3.0735932734195304,-290.2514343261719,-279.2238464355469,560984.3492298535,0.7161401340532417,560983.1100846251,560985.542244625,202.0,0,data\train\left\imu_data_2025-11-01_09-34-28.csv_single_trial_8.csv
