Roll_mean,Roll_std,Roll_min,Roll_max,Gyroscope_z_mean,Gyroscope_z_std,Gyroscope_z_min,Gyroscope_z_max,Gravity_x_mean,Gravity_x_std,Gravity_x_min,Gravity_x_max,Rot12_mean,Rot12_std,Rot12_min,Rot12_max,Rot13_mean,Rot13_std,Rot13_min,Rot13_max,Rot21_mean,Rot21_std,Rot21_min,Rot21_max,Rot22_mean,Rot22_std,Rot22_min,Rot22_max,Rot23_mean,Rot23_std,Rot23_min,Rot23_max,Rot31_mean,Rot31_std,Rot31_min,Rot31_max,Rot32_mean,Rot32_std,Rot32_min,Rot32_max,Rot33_mean,Rot33_std,Rot33_min,Rot33_max,duration,label,path
-119.09030998484091,11.76264899458571,-135.7250649908379,-95.7466745127866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9830617526093045,0.0062304080799617375,-0.9908713102340698,-0.9682852029800416,0.14252990061366877,0.05136922875561888,0.082026332616806,0.2494072616100311,-0.08360374497400745,0.01661998847775608,-0.1055309176445007,-0.0391985774040222,0.1345781192586228,0.05438537947632375,0.072199523448944,0.2498264610767364,0.9857004220421249,0.007739357914989183,0.9657255411148072,0.9935330152511596,-0.9910219525163239,0.003536004303024236,-0.9980412721633912,-0.9848418235778807,-0.10569589383698794,0.03619608327587814,-0.1629109382629394,-0.003247857093811,-0.07114638790890973,0.01787418362132895,-0.0942177772521972,-0.0190139710903167,148.0,1,data\train\right\imu_data_2025-10-30_08-56-07.csv_single_trial_11.csv
-94.3669408924801,7.313528059270017,-109.16219691480627,-82.99975916676915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9707040889068734,0.02103647960448918,-0.993111491203308,-0.9266009330749512,0.21024071505141362,0.08951591878694504,0.0761941969394683,0.3681182861328125,-0.01500084868316482,0.013709982746343368,-0.0515958964824676,0.0109330713748931,0.21052204833521865,0.08848586444153837,0.0781026780605316,0.3657767474651336,0.973144195366315,0.020691100902746912,0.9297032356262208,0.9967800378799438,-0.9972494988994025,0.0019119453711188273,-0.9999388456344604,-0.9927613735198976,-0.00911273209322163,0.07112489183751405,-0.1192257106304168,0.1003434956073761,-0.008525558295679678,0.01659305104558592,-0.0327068865299224,0.0301994681358337,233.0,0,data\train\left\imu_data_2025-10-30_09-17-57.csv_single_trial_15.csv
-129.40978352787724,22.425579907846895,-172.80878657071716,-102.7011798530387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9793202243550285,0.013678730866355699,-0.9957507848739624,-0.9489378929138184,0.14736798265217485,0.09436622360363231,0.0127525329589843,0.3054540455341339,-0.09019776663855104,0.02037219386313463,-0.132866084575653,-0.0468868911266326,0.1422615138648068,0.10213639107491419,-0.0034076571464538,0.3095979690551758,0.9800750404128229,0.015235479463222809,0.9497108459472656,0.9949041604995728,-0.9906044134294799,0.005452721066293148,-0.9973986744880676,-0.980435848236084,-0.05729564743516333,0.08241277405146666,-0.1699080765247345,0.0936711430549621,-0.09079592686673106,0.018832064900008775,-0.1286839246749878,-0.0473325848579406,191.0,1,data\train\right\imu_data_2025-10-30_09-14-24.csv_single_trial_20.csv
-120.3821182544496,16.58105520626877,-143.64249465100764,-87.4000818758297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9659101403960886,0.006883938687608443,-0.9834561347961426,-0.9572561383247375,0.11420526661614111,0.05620113089429962,0.039535105228424,0.2252815961837768,-0.029748819595159445,0.01592164538430591,-0.0514062047004699,0.0180620849132537,0.12406223226887306,0.05213162496873849,0.0524203777313232,0.2263431847095489,0.9903093169825946,0.006313098911732872,0.9737009406089784,0.9979562759399414,-0.973613861457322,0.012991406489941243,-0.998926043510437,-0.9590981006622314,0.21039057863775149,0.06780049629873007,0.031497299671173,0.277847558259964,-0.05230115226996956,0.01763026135996561,-0.0753844082355499,0.0077854394912719,129.0,0,data\train\left\imu_data_2025-10-30_08-47-16.csv_single_trial_6.csv
-114.62988473289364,15.242243081045329,-139.06481785025127,-92.4827090084553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9776641677139671,0.008560005466601229,-0.9906415939331056,-0.9609416723251344,0.16835663918476956,0.06539014175460318,0.0638409554958343,0.2742961645126343,-0.08116946193822626,0.03525234891471867,-0.1424067020416259,-0.0112929642200469,0.15999883318402963,0.06804860794826267,0.0542839467525482,0.271866500377655,0.9807218837130601,0.011097935183728034,0.9604668617248536,0.995241641998291,-0.9902867834279492,0.0046076410754254,-0.9999207258224488,-0.98163241147995,-0.11137376488394037,0.038277396746676816,-0.1571969389915466,0.0024290084838867,-0.06559260825442656,0.033752608126784905,-0.1207897663116455,-0.0100017189979553,157.0,1,data\train\right\imu_data_2025-10-30_08-56-07.csv_single_trial_13.csv
-94.64247249818278,9.816443754883714,-109.99234214911904,-81.32621746437235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9780515096404335,0.008507335219776525,-0.9895921349525452,-0.9656378030776978,0.18312282508069816,0.04996026870137283,0.1088607907295227,0.2519926428794861,-0.021865503354506027,0.025309614217609477,-0.0499613881111145,0.0278140604496002,0.18158732327547933,0.05215267222843875,0.1045138239860534,0.2533860206604004,0.9813786615024913,0.009136548876936924,0.9669653177261353,0.9932676553726196,-0.9957746245644309,0.0011836288366452341,-0.9985722899436952,-0.9943073391914368,-0.0861708814447576,0.01495572396598436,-0.10014408826828,-0.0370898246765136,-0.006628915396603647,0.02717759165362295,-0.0396055579185485,0.038442313671112,55.0,1,data\train\right\imu_data_2025-10-30_08-56-07.csv_single_trial_8.csv
-107.62990725906083,15.357256859284664,-132.46263604662494,-87.21529634164091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9722277680774788,0.008863379608836132,-0.9845910668373108,-0.9561470150947572,0.19349282883204422,0.056708129585001155,0.0966078341007232,0.2729757130146026,-0.07073645196951826,0.04280089152964248,-0.1198311448097229,0.0048407018184661,0.18459161787064043,0.061767029765008384,0.0821799337863922,0.2688255906105041,0.9773354352294624,0.009524129758240261,0.961789846420288,0.9913885593414308,-0.989483348347924,0.00691582951211108,-0.9996010065078736,-0.9805741906166076,-0.11817937102410696,0.0532826659043908,-0.1743729412555694,-0.0261624455451965,-0.050792825492945524,0.03859540362449851,-0.0973070263862609,0.0113129913806915,154.0,1,data\train\right\imu_data_2025-10-30_08-43-55.csv_single_trial_1.csv
-130.9285367049567,10.203066461841065,-143.50726531271093,-102.6246675586741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9873223528265953,0.004402605252459488,-0.9941326379776,-0.979985237121582,0.13922910445502823,0.03682706157333828,0.0849290490150451,0.1990610957145691,-0.12521500566176003,0.023770492974057218,-0.168780505657196,-0.0458377599716186,0.13038890436291692,0.03916472122136026,0.0764261782169342,0.1982495486736297,0.982443531709058,0.005074231757613203,0.9744884967803956,0.9897508025169371,-0.9895986084427152,0.004066910857478416,-0.9988723397254944,-0.9816793203353882,-0.07679929105298854,0.02723830968241609,-0.1212674379348754,-0.0180489122867584,-0.1165493915655783,0.021312866517291335,-0.1556061506271362,-0.0426485538482666,112.0,1,data\train\right\imu_data_2025-10-30_08-43-55.csv_single_trial_15.csv
-91.63813854240465,8.829125873937961,-104.80327272817632,-75.35088983133178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9736898222139904,0.01677555712521237,-0.993692934513092,-0.9394872188568116,0.20726176640208888,0.07087853257101695,0.1022321879863739,0.3243533372879028,-0.003344880683081477,0.024050941969265924,-0.0514194071292877,0.049340397119522,0.20842784080578355,0.07118044526399712,0.1033428013324737,0.3277596831321716,0.975004890743567,0.016341710734436826,0.9435665011405944,0.9943935871124268,-0.9978684278167024,0.0018610953003703496,-0.9999995231628418,-0.9925711154937744,-0.0037996343203953423,0.05588795065834395,-0.1209743916988372,0.0688941478729248,0.0006422611827753186,0.03341917676617554,-0.0283546447753906,0.0803884863853454,196.0,0,data\train\left\imu_data_2025-10-30_09-17-57.csv_single_trial_19.csv
-101.62723983092515,13.524946691462482,-136.42973243875494,-87.81278357125723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9652148032188416,0.021451638325790206,-0.995720624923706,-0.9371452331542968,0.2299906073676215,0.09775580144604165,0.0636144280433654,0.3427868187427521,-0.024902820322248654,0.024404448321606247,-0.0711189806461334,0.0078897774219512,0.22937271621492175,0.09981321374260521,0.0588268935680389,0.3440000414848327,0.9673491594526503,0.021103733769079203,0.9388604164123536,0.9957529306411744,-0.9966610508494907,0.0016383780341535962,-0.9997371435165404,-0.9934149980545044,-0.0026778413189781957,0.07292824217929088,-0.1144279837608337,0.0979085266590118,-0.03101225641038679,0.019406731718425406,-0.0668712258338928,0.0077551901340484,225.0,1,data\train\right\imu_data_2025-10-30_09-14-24.csv_single_trial_8.csv
